City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Pitimbu,BR,88.39,broken clouds,-7.47,-34.81,Reserva do Abiaí
7,Rikitea,PF,79.16,clear sky,-23.12,-134.97,People ThankYou
14,Sabang,ID,84.07,broken clouds,5.89,95.32,Hotel Citra
21,Axim,GH,86.0,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
22,Mankachar,IN,82.65,clear sky,25.53,89.87,Hotel
25,Luwuk,ID,78.67,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
27,Piacabucu,BR,85.1,scattered clouds,-10.41,-36.43,Piaçabuçu News
29,Uberlandia,BR,83.41,clear sky,-18.92,-48.28,Hotel Apollo
30,Mahibadhoo,MV,84.16,few clouds,3.78,72.97,Omadhoo Inn
31,Souillac,MU,75.58,light rain,-20.52,57.52,Bils' Villa
36,Lorengau,PG,79.29,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
41,Puerto Ayora,EC,82.36,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
49,Saint-Philippe,RE,77.22,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
53,Hobyo,SO,83.21,broken clouds,5.35,48.53,Iftin hotel hobyo
55,Butaritari,KI,80.62,light rain,3.07,172.79,Isles Sunset Lodge
56,Cayenne,GF,86.04,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
62,Faanui,PF,82.27,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,Ternate,ID,81.28,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
68,Carauari,BR,83.8,overcast clouds,-4.88,-66.9,Pousada Lobo
75,Cape Town,ZA,75.61,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
79,Avarua,CK,80.65,scattered clouds,-21.21,-159.78,Paradise Inn
83,Mozarlandia,BR,89.46,clear sky,-14.74,-50.57,Hotel Santa Mônica
90,Puerto Escondido,MX,85.23,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
97,Pundaguitan,PH,82.4,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
98,Atuona,PF,79.09,broken clouds,-9.8,-139.03,Villa Enata
99,Foumban,CM,84.13,broken clouds,5.73,10.9,Hotel Pekassa De Karche
100,Sabha,LY,88.63,overcast clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
105,Sal Rei,CV,77.2,few clouds,16.18,-22.92,Marine Club Beach Resort
109,Acarau,BR,83.17,light rain,-2.89,-40.12,castelo pizzaria
114,Castro,BR,76.03,overcast clouds,-24.79,-50.01,CHACARA BAILLY
122,Saldanha,ZA,80.65,clear sky,-33.01,17.94,Blue Bay Lodge
124,Acapulco,MX,82.4,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
128,Faya,SA,75.72,clear sky,18.39,42.45,أبو تركي للوحدات السكنيه
131,Cornelio Procopio,BR,79.84,clear sky,-23.18,-50.65,Hotel Midas Cornélio Procópio
132,Nador,MA,77.07,few clouds,35.17,-2.93,Hôtel La Giralda
134,Fomboni,KM,83.17,scattered clouds,-12.28,43.74,Auberge les abou
135,Port-Gentil,GA,80.85,light rain,-0.72,8.78,Fengshui Residence
137,Sur,OM,88.92,broken clouds,22.57,59.53,Sur Plaza Hotel
140,Dennery,LC,84.33,broken clouds,13.9,-60.89,The Fox Grove Inn
143,Chuy,UY,75.51,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
