City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yumen,CN,40.28,97.20,62.67,9,0,11.59,clear sky
1,Vaini,TO,-21.20,-175.20,73.56,100,20,3.44,few clouds
2,Zaltan,LY,32.95,11.87,69.1,40,0,15.48,clear sky
3,Busselton,AU,-33.65,115.33,59.97,79,99,12.39,overcast clouds
4,Okhotsk,RU,59.38,143.30,20.73,91,100,6.4,overcast clouds
5,Pitimbu,BR,-7.47,-34.81,88.39,72,62,10.87,broken clouds
6,El Real De Santa Maria,PA,8.11,-77.73,76.33,97,91,1.92,overcast clouds
7,Rikitea,PF,-23.12,-134.97,79.16,72,0,16.73,clear sky
8,Ayan,RU,56.45,138.17,18.7,84,85,9.04,overcast clouds
9,Cabo San Lucas,MX,22.89,-109.91,69.51,64,14,8.68,few clouds
10,Keetmanshoop,NA,-26.58,18.13,85.12,17,20,8.05,few clouds
11,Tasiilaq,GL,65.61,-37.64,23.16,92,100,9.93,light snow
12,Iberia,US,29.95,-91.75,64.06,44,0,11.5,clear sky
13,Upernavik,GL,72.79,-56.15,9.88,87,100,5.97,overcast clouds
14,Sabang,ID,5.89,95.32,84.07,69,58,7.18,broken clouds
15,Pacific Grove,US,36.62,-121.92,64.42,84,0,4.0,clear sky
16,Qaanaaq,GL,77.48,-69.36,-2.4,72,13,7.0,few clouds
17,Havre-Saint-Pierre,CA,50.23,-63.60,35.96,75,100,12.66,overcast clouds
18,Bembereke,BJ,10.23,2.66,105.58,15,9,5.14,clear sky
19,Manica,FR,49.00,-1.17,39.04,98,100,11.74,overcast clouds
20,San Patricio,US,28.02,-97.52,71.08,33,0,5.19,clear sky
21,Axim,GH,4.87,-2.24,86.0,68,88,10.98,overcast clouds
22,Mankachar,IN,25.53,89.87,82.65,58,0,12.66,clear sky
23,Thompson,CA,55.74,-97.86,26.76,63,20,3.44,few clouds
24,Aasiaat,GL,68.71,-52.87,12.06,90,100,3.27,overcast clouds
25,Luwuk,ID,-0.95,122.79,78.67,84,99,1.5,overcast clouds
26,Beringovskiy,RU,63.05,179.32,-7.1,96,79,4.56,broken clouds
27,Piacabucu,BR,-10.41,-36.43,85.1,64,36,10.02,scattered clouds
28,Kamenka,RU,51.32,42.77,57.2,53,25,13.15,scattered clouds
29,Uberlandia,BR,-18.92,-48.28,83.41,54,0,10.36,clear sky
30,Mahibadhoo,MV,3.78,72.97,84.16,70,22,8.16,few clouds
31,Souillac,MU,-20.52,57.52,75.58,100,75,11.5,light rain
32,Oranjemund,NA,-28.55,16.43,68.58,50,15,22.86,few clouds
33,Barrow,US,71.29,-156.79,-9.38,70,0,3.44,clear sky
34,Yellowknife,CA,62.46,-114.35,34.32,69,100,8.05,overcast clouds
35,Kutum,SD,14.20,24.67,94.78,7,2,9.53,clear sky
36,Lorengau,PG,-2.02,147.27,79.29,88,100,10.6,overcast clouds
37,Hobart,AU,-42.88,147.33,53.06,85,0,8.05,clear sky
38,Saint George,US,37.10,-113.58,60.8,26,0,5.75,clear sky
39,Mar Del Plata,AR,-38.00,-57.56,66.22,94,75,7.0,light rain
40,Seoul,KR,37.57,126.98,53.2,52,0,5.75,clear sky
41,Puerto Ayora,EC,-0.74,-90.35,82.36,79,29,8.88,scattered clouds
42,Umri,IN,26.51,78.94,92.19,6,0,2.91,clear sky
43,Sitka,US,57.05,-135.33,37.29,87,100,3.44,mist
44,Claresholm,CA,50.03,-113.59,53.51,26,100,12.66,overcast clouds
45,Mataura,NZ,-46.19,168.86,49.1,82,100,4.74,overcast clouds
46,Ushuaia,AR,-54.80,-68.30,38.82,87,75,4.61,broken clouds
47,Sangar,RU,63.92,127.47,17.67,96,100,3.22,overcast clouds
48,New Norfolk,AU,-42.78,147.06,52.72,71,0,3.09,clear sky
49,Saint-Philippe,RE,-21.36,55.77,77.22,86,76,14.36,light rain
50,San Cristobal,VE,7.77,-72.22,71.78,62,99,6.08,overcast clouds
51,Severo-Kurilsk,RU,50.68,156.12,29.46,92,100,18.99,light snow
52,Khatanga,RU,71.97,102.50,0.36,96,34,6.26,scattered clouds
53,Hobyo,SO,5.35,48.53,83.21,74,69,13.87,broken clouds
