City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lompoc,US,2022-04-07 17:54:00,34.6391,-120.4579,87.69,31,0,3.0
1,Atuona,PF,2022-04-07 17:51:38,-9.8,-139.0333,79.38,71,16,15.61
2,Manhuacu,BR,2022-04-07 17:54:00,-20.2581,-42.0336,76.1,84,45,2.73
3,Albany,US,2022-04-07 17:50:43,42.6001,-73.9662,48.38,91,100,10.0
4,Rikitea,PF,2022-04-07 17:54:01,-23.1203,-134.9692,79.83,63,6,14.7
5,Cape Town,ZA,2022-04-07 17:51:23,-33.9258,18.4232,61.21,71,0,18.41
6,Punta Arenas,CL,2022-04-07 17:50:40,-53.15,-70.9167,46.51,61,0,10.36
7,Tiksi,RU,2022-04-07 17:54:01,71.6872,128.8694,-12.14,100,88,1.61
8,Saint-Philippe,RE,2022-04-07 17:54:02,-21.3585,55.7679,76.59,85,39,12.26
9,Tabou,CI,2022-04-07 17:54:02,4.423,-7.3528,82.58,76,98,7.85
10,Kikwit,CD,2022-04-07 17:54:02,-5.041,18.8162,74.77,84,78,4.03
11,Yenotayevka,RU,2022-04-07 17:54:03,47.2456,47.0281,53.04,49,22,11.72
12,Guiratinga,BR,2022-04-07 17:54:03,-16.3494,-53.7583,90.25,41,1,6.78
13,Muravlenko,RU,2022-04-07 17:54:03,63.7898,74.523,-0.89,99,71,6.42
14,Esso,RU,2022-04-07 17:54:04,55.9333,158.7,24.21,97,100,3.22
15,Lata,PT,2022-04-07 17:54:04,40.1629,-8.3327,58.82,65,23,8.1
16,Georgetown,MY,2022-04-07 17:49:37,5.4112,100.3354,80.53,93,40,3.44
17,Faya,SA,2022-04-07 17:54:05,18.3851,42.4509,73.51,13,0,6.69
18,Cabo San Lucas,MX,2022-04-07 17:53:29,22.8909,-109.9124,85.6,59,15,3.0
19,Airai,TL,2022-04-07 17:51:52,-8.9266,125.4092,59.31,88,95,2.46
20,Ushuaia,AR,2022-04-07 17:54:05,-54.8,-68.3,44.22,61,20,10.36
21,Mataura,NZ,2022-04-07 17:51:29,-46.1927,168.8643,49.87,68,95,8.43
22,Kuala Terengganu,MY,2022-04-07 17:54:06,5.3302,103.1408,76.95,94,20,2.3
23,Kapaa,US,2022-04-07 17:51:29,22.0752,-159.319,75.47,79,75,13.8
